"btc_ret","gold_ret","tech_ret"
3.16,0.24,11.05
-7.67,-4.07,-5.72
27.79,-0.54,-3.2
47.77,0.84,5.05
14.18,-2.42,0.29
36.31,-6.45,-0.12
30.53,-0.83,1.41
-1.98,3.12,5.88
-35.35,7.65,-1.26
-6.14,-6.92,6.34
18.79,2.36,2.78
-7.16,-3.16,-5.73
40.03,1.58,7.9
-7.03,-0.53,1.8
-18.77,3.04,1.14
-16.89,-1.78,-8.52
12.24,5.82,-4.64
5.43,2.62,4.22
-17.18,-2.05,-13.37
-37.77,-5.51,-9
17.95,-2.28,12.55
-14.09,-2.84,-5.22
-3.08,-2.94,-10.6
5.48,-1.59,3.96
-16.23,6.73,5.48
-3.62,4.22,-9.06
0.03,0.51,-0.49
23.03,7.66,9.46
2.78,1.07,0.49
-7,-1.32,7.61
11.97,-2.18,6.49
-4.09,2.57,3.81
-11.29,-1.64,-1.62
4,-4.65,-5.07
8.78,10.28,10.67
12.07,1.19,5.51
0.75,-0.68,1.85
43.72,-0.13,5.29
16.56,8.39,1.17
-15,3.34,-4.46
11.3,1.37,6.28
-7.13,0.21,6.18
3.1,4.24,-1.63
-8.74,2.77,1.1
10.87,9.8,-0.85
37.36,-2.97,5.23
9.61,5.85,2.22
-17.61,0.86,-2.76
-2.16,10.08,-7.69
14.12,5.83,1.52
11.07,-0.49,9.04
