sr_no,cid,symbol,company,year,comp_year,ln_ta,fin_lev,tq,roa,roe,npm,bd_size,per_ind_dir,per_women,esg,env,soc,gov,ln_gross_sw,age,beta_adj
1,3,ACC IS Equity,ACC Ltd,2022,ACC IS Equity_2022,12.21,1.46,2.59,3.16,4.61,3.73,12,50,8.33,66.03,54.91,58.25,84.86,1.87,86,1.35
2,4,ADE IS Equity,Adani Enterprises Ltd,2022,ADE IS Equity_2022,13.83,3.89,2.96,1.01,3.94,1.12,8,50,12.5,56.46,21.11,58.31,89.86,4.57,29,13.82
3,6,ADSEZ IS Equity,Adani Ports & Special Economic Zone Ltd,2022,ADSEZ IS Equity_2022,13.76,2.49,2.32,5.55,13.8,29.67,10,50,20,71.29,61.16,62.79,89.86,5.37,24,2.34
4,12,ALKEM IS Equity,Alkem Laboratories Ltd,2022,ALKEM IS Equity_2022,11.85,1.6,3.46,12.86,20.55,15.65,12,50,25,28.81,2.08,18.14,66.07,4.24,49,-1.96
5,13,ACEM IS Equity,Ambuja Cements Ltd,2022,ACEM IS Equity_2022,13.12,1.69,2.46,4.07,6.87,6.26,15,50,13.33,73.66,76.96,51.6,92.35,2.21,41,0.82
6,14,APHS IS Equity,Apollo Hospitals Enterprise Ltd,2022,APHS IS Equity_2022,11.79,2.41,5.5,8.58,20.65,7.26,11,54.55,54.55,34.14,2.42,21.25,78.6,5.59,43,4.65
7,15,AL IS Equity,Ashok Leyland Ltd,2022,AL IS Equity_2022,12.99,5.65,1.62,-0.84,-4.73,-1.37,11,54.55,9.09,63.8,64.09,42.35,84.86,5.69,74,1.53
8,16,APNT IS Equity,Asian Paints Ltd,2022,APNT IS Equity_2022,12.35,1.63,13.25,13.98,22.77,10.46,14,50,21.43,54.4,27.97,50.27,84.86,5.45,77,-3.14
9,17,ASTRA IS Equity,Astral Ltd,2022,ASTRA IS Equity_2022,10.43,1.43,12.31,15.97,22.86,11.01,6,50,33.33,51.02,29.51,38.57,84.86,1.99,26,2.38
10,20,DMART IS Equity,Avenue Supermarts Ltd,2022,DMART IS Equity_2022,11.95,1.13,16.88,10.25,11.54,4.84,7,42.86,28.57,31.76,2.42,14.09,78.6,4.4,22,2.33
11,26,BIL IS Equity,Balkrishna Industries Ltd,2022,BIL IS Equity_2022,11.61,1.48,4.13,14.99,22.2,17.3,8,50,25,38.84,15.95,21.83,78.6,1.96,61,-2.34
12,31,BRGR IS Equity,Berger Paints India Ltd,2022,BRGR IS Equity_2022,11.19,1.8,9.88,12.68,22.8,9.77,10,50,20,42.43,20.18,23.37,83.59,3.68,99,-4.54
13,32,BHE IS Equity,Bharat Electronics Ltd,2022,BHE IS Equity_2022,12.73,2.72,2.15,7.57,20.55,15.9,13,61.54,15.39,36.22,17.64,27.36,63.58,3.26,68,6.22
